100000 100000
S 28895 8963
S 31252 12186
S 26982 9555
H 7197 762
H 20982 3304
S 20841 12876
S 27760 18098
A 1127 4432
S 10483 2217
S 21865 15136
S 7414 17438
S 18047 21558
H 14453 12698
S 13661 1576
S 2692 25259
S 12925 26576
S 7609 8239
H 28868 32730
S 18974 23543
H 2885 2281
S 7594 13020
S 18186 26075
A 30881 32117
S 21727 6612
A 6447 12584
S 31628 27404
A 21260 30542
A 3350 26785
S 23703 32043
S 10700 10965
A 10542 15957
S 10835 8836
H 7851 26342
S 9712 30641
S 17994 3473
S 31930 8321
S 625 13925
A 9601 20730
S 18349 14155
S 19846 31068
A 8353 20406
S 11360 3062
A 4413 15786
H 22689 1215
S 7202 21839
A 31243 31777
S 6788 8269
H 31879 15277
H 26078 3238
S 29457 9915
S 25179 14538
A 8742 15451
H 21448 18704
S 17107 19860
S 27737 27367
S 28746 9754
H 22314 30942
A 12669 23831
H 8478 30583
S 16415 8083
S 24114 12470
A 2453 27203
S 25192 18666
S 17447 24094
H 11455 20782
S 11742 10195
S 2054 11399
S 26695 28538
H 14440 8878
H 11593 3285
S 7678 18411
S 27995 2947
H 21453 903
H 2232 235
H 20476 1729
A 9424 20832
A 1102 13602
A 4605 11993
S 11773 31938
H 17028 16875
S 9208 3710
S 6222 20755
H 13884 30704
H 24797 9056
A 23117 29005
H 7017 18215
S 20573 16142
S 4903 14921
S 25814 28878
A 11566 21545
S 9688 14434
S 8755 937
H 3724 13127
S 23668 13155
A 935 29870
H 20268 23655
H 9076 10452
H 20630 25558
A 12594 23148
S 14524 16892
S 5810 18748
A 23546 27701
S 26746 27976
S 15967 6239
S 22480 17427
S 18983 23257
A 23428 28130
S 32261 8496
S 25419 32528
S 22525 6931
H 29448 19908
S 18414 4132
S 23135 32432
S 16688 15544
H 12890 13217
S 9410 26800
S 11795 5386
S 17924 21226
S 27799 3024
S 18927 4345
A 10630 29429
S 9545 30248
S 14100 24839
S 6216 17914
H 26491 30551
A 13720 18073
A 17667 31067
A 218 23798
S 32546 22735
H 4304 915
H 6247 29559
H 27664 32288
H 29737 1415
A 10444 26993
A 13369 24604
S 32521 17544
A 13826 21842
S 5222 3734
A 5080 15322
S 23352 28488
A 14966 27149
H 32176 24253
H 11196 11530
A 4079 13373
H 32618 23091
S 4720 23427
S 5963 2581
A 22531 25133
S 32752 448
H 15323 25910
S 6177 11235
H 1306 14528
H 26768 5451
H 10902 1758
A 16541 23146
S 11094 11166
S 5848 21342
S 29417 4492
A 21160 29333
S 29352 29539
H 12321 28696
S 13637 4834
S 26683 22498
A 7676 9275
S 23459 5894
H 3832 29410
S 8788 7453
S 20946 2196
S 27579 7997
S 20270 17659
A 8343 18908
S 22368 19135
S 635 19900
H 11307 6225
S 11825 30796
H 4841 32485
S 32114 16896
S 29894 21323
S 31146 7556
S 28311 5104
S 13501 26855
S 31272 26210
S 15891 15873
S 6431 5176
S 22862 4553
S 11718 25128
H 26995 10844
H 2134 3501
H 32378 468
A 12188 15511
S 27763 16461
S 8718 1863
S 6857 8615
S 18603 20891
H 8009 27620
S 10038 12202
H 3065 8498
A 3508 27361
S 26594 25861
S 15665 12573
H 27219 11724
S 9781 23264
S 3410 25892
S 12662 22189
S 14129 5781
A 29604 30504
H 25727 20802
H 21352 28316
A 13007 31502
S 5354 32234
H 16908 5159
S 119 5647
S 25938 24566
S 546 13000
H 23939 9440
A 15991 23032
H 10006 18022
H 15507 16094
H 4551 30075
S 64 22848
A 8495 13371
S 20202 8208
H 9912 17922
S 28806 21561
A 6001 17523
S 6587 13205
H 4134 6069
H 24313 21826
S 30723 11138
S 10298 10179
S 19963 15498
S 11168 24251
H 5921 12534
S 2357 24861
A 16105 22947
H 19569 18986
S 2162 5393
H 26709 7834
A 7588 19647
H 18741 17582
A 28246 29145
H 25493 26934
H 11531 6196
S 18843 5285
S 24198 24677
A 6846 22785
H 2443 1850
A 4506 5272
A 13595 28992
S 10419 2008
S 21756 32052
A 2059 3950
S 497 13290
H 9995 6480
A 10617 11135
H 9093 27089
H 29298 21365
S 15150 24745
H 24940 18317
S 22907 17627
S 18072 8559
S 26048 29667
S 12727 27750
H 27540 1540
S 19326 31924
H 11237 7305
S 12579 13412
A 12106 28751
H 23060 32168
S 8820 9726
H 30984 1834
S 11206 15027
S 232 10447
H 5501 22281
A 19262 22501
S 10746 20423
S 8499 18349
A 2046 25245
A 20422 26947
S 4862 8881
A 992 19238
H 2016 23533
S 2220 8382
H 14511 17744
A 8315 25973
H 4663 31151
S 4304 31868
H 25734 11175
A 27684 28068
S 954 13488
H 3506 27555
H 18613 18573
S 21137 21104
S 20864 3480
H 1071 336
S 12167 28562
S 21698 2302
S 1532 1534
S 4969 9931
H 1273 10291
S 17392 26833
H 15931 6318
H 3955 31628
A 5780 24130
S 6739 23410
S 9052 15673
H 317 1392
A 7055 9612
S 25135 22342
H 7247 17085
S 14273 11580
S 10014 14042
H 15390 31916
S 13265 3574
S 22126 17233
S 20262 9213
S 4255 12635
S 28326 1669
A 2225 3284
S 16639 20820
S 14559 22009
S 3609 16255
S 25489 30770
H 670 15984
A 10951 29182
A 10041 31409
S 19067 19456
S 3569 14332
S 29765 29131
H 21300 19026
H 21518 31576
S 7285 25839
S 4574 21253
S 23521 30208
A 11394 18967
S 2326 4339
H 27764 23351
S 18920 17823
S 1953 22287
S 25674 24596
H 2643 13479
H 10029 26486
A 4691 17439
S 5744 22443
H 16258 3448
S 19006 9419
S 15323 19493
A 11365 26765
S 26951 5377
A 7825 31018
S 24990 25558
A 10856 26223
S 251 29547
H 14593 17649
H 1440 25967
A 303 6301
H 4624 6033
S 29835 26399
H 7601 24878
S 329 20443
A 24415 30483
H 4932 19038
S 6824 6977
H 26806 11674
A 7356 17334
H 8093 12621
S 30476 4036
A 2142 26308
A 6561 8469
S 2523 19986
A 1784 27393
S 12844 6510
H 13943 26953
H 15824 28960
A 13765 29044
S 3437 24509
S 17576 18491
S 11486 23364
H 2697 9843
S 21863 25624
A 2373 24037
H 2094 32502
S 26436 26019
S 30266 19089
A 20723 24783
A 10028 15581
S 27255 12179
A 23851 25184
H 32580 16032
A 22085 26530
S 10987 6546
S 26632 31686
S 16231 31951
S 2532 6906
A 25297 29632
S 182 7500
A 2669 3407
S 12713 12781
A 24330 30826
A 19996 30488
A 14387 18949
S 10219 26732
A 3061 21349
S 32553 22454
S 14195 25252
H 31089 29714
S 14041 4681
A 7308 32167
S 12009 25326
A 363 8249
H 26642 16753
S 29474 31671
A 641 15984
S 5558 14656
A 2528 10704
S 24045 12625
H 26805 7561
A 16209 21274
S 23726 22230
S 26664 9778
H 7485 18084
A 14106 15129
H 13120 4580
S 1190 21589
S 12727 2807
H 16076 1277
H 31776 30220
H 8042 25373
S 22147 17552
S 15932 21304
S 17482 6157
H 25992 16324
H 21121 5886
S 11474 23171
A 7957 32397
S 24378 16131
S 4638 29231
S 30534 30885
S 8036 26264
S 14406 13313
S 21916 14217
H 12700 5761
S 19982 4184
H 21134 10369
S 2721 23882
S 13666 15713
H 18826 4118
A 8775 32504
H 7427 11300
S 11303 26497
S 31454 24432
H 30848 8651
S 19153 29460
H 16958 22495
H 3017 10972
S 32154 17952
S 18341 19842
S 32180 1344
H 2606 5981
H 9164 16934
S 15144 22430
H 30094 25734
S 25795 31875
H 16780 3822
S 26341 27897
A 7728 25927
S 11514 20136
S 2647 1901
H 32594 19810
H 22665 31537
H 18992 13672
H 14610 22884
S 1051 17411
S 27433 5366
H 2580 2656
S 25764 30606
A 9136 11451
S 22888 5297
H 14937 15403
H 23251 30987
A 29629 30226
S 23656 3562
A 14238 20890
S 7519 4620
A 6874 27497
S 3820 16456
S 7580 2354
S 23900 4544
A 1674 5225
S 22100 19612
S 1170 20714
S 4308 4478
S 2839 13327
S 3031 10542
S 30701 4645
S 32413 16690
H 26549 21742
S 25090 24907
H 4668 3566
H 23671 32012
S 27621 3510
A 17008 27662
A 17778 27218
S 23401 6247
A 10836 31164
S 8139 9838
S 15804 10946
H 15964 2551
H 29557 4938
S 30722 15496
A 1125 5577
H 22264 25910
H 24634 3915
H 715 3629
S 22918 14730
A 1214 19728
H 21550 15130
S 18523 23214
H 26067 5534
H 4710 19404
S 26557 21411
S 7268 16359
S 14052 8173
H 3450 15421
S 18983 11866
A 14671 22665
S 12257 8876
S 29746 12329
H 15178 31700
H 30651 1452
S 32625 2710
S 21906 32761
A 12451 30896
S 24117 12180
S 18148 8558
S 16322 28578
S 27096 12405
S 1336 2498
A 24222 28852
S 6317 5331
S 6088 5999
S 2919 9789
S 25542 18598
S 15580 27231
S 15314 15815
H 5640 25634
S 31535 10106
H 148 15596
S 29094 20896
H 6596 1385
A 30086 31961
S 28461 23772
A 9001 22680
H 26524 30714
A 1437 16572
H 25781 16764
A 12338 32504
H 14895 7663
S 21174 15310
A 2411 24005
H 15356 12963
S 16170 8490
S 31027 5850
A 1099 6561
H 31370 6048
S 22798 7706
H 15101 6164
S 27286 12718
S 31687 16478
S 5417 12745
S 13907 24432
S 20624 24890
A 9123 25216
H 4558 14122
H 10388 17532
A 14842 24607
S 23860 25128
A 16288 20695
A 2864 12192
H 1754 24506
H 8729 626
A 4817 12893
S 29132 12185
S 10796 393
S 14961 16115
A 5045 16812
H 5555 1842
A 1405 13394
A 10510 16992
S 20141 6328
H 14980 12101
A 20110 23243
A 14371 28244
A 5383 32159
S 22553 2290
S 28828 4635
S 31309 2086
S 25653 1017
A 13749 15389
S 17501 1314
H 19169 26630
H 3414 17757
A 25202 32300
H 26364 19525
H 22903 1630
H 3441 18597
S 14056 15617
H 24520 29196
H 3254 871
S 12784 1153
S 19489 27190
H 12679 18321
H 18529 1289
A 17759 18750
S 5053 25239
A 19050 24024
S 25249 1784
S 16485 7639
S 32096 11749
H 715 15319
H 21653 30987
S 15106 23612
A 4808 21860
S 28350 21804
S 29207 18399
A 6369 6666
S 18619 15124
S 18042 17792
H 13519 11180
S 13537 8586
A 14885 25663
S 6542 25750
A 22886 26237
A 8020 28536
S 21651 22562
H 234 18187
S 13955 29207
H 1159 10247
S 1754 10735
H 9150 8128
H 1713 19579
S 31755 19099
S 21659 29554
H 16020 6794
A 29917 31572
H 2562 25351
S 10353 3724
H 2220 7192
S 6784 32560
H 20837 16721
S 4956 1772
S 5015 4899
A 1693 1905
H 18278 28626
S 9581 16398
A 278 18140
S 8239 31803
S 13035 9417
S 19378 2937
S 11060 20114
A 4011 6890
S 1098 11042
H 24420 11060
H 6817 7842
S 20981 27254
H 325 20103
A 21070 31881
H 26449 22180
S 26493 32071
H 328 5800
S 9344 18173
S 24405 15571
S 31613 3165
H 13792 24006
H 3893 27534
H 4089 4795
H 1483 20837
S 15231 3718
S 4353 28718
H 3358 12073
H 8038 20373
S 28270 5363
H 18238 9088
S 4824 2383
A 13833 18174
H 16402 20179
S 16567 21713
H 23883 8503
S 27844 27745
S 2146 1839
S 13717 23641
S 21185 29033
S 20852 9626
H 4008 18716
H 20618 28594
S 23568 21983
S 1183 5420
A 5582 19575
H 30012 32408
A 1834 5160
H 3644 8805
H 4588 18911
H 12276 5091
H 20485 28891
S 3953 13829
S 10792 15836
A 14983 30401
H 11181 32319
H 26270 32282
A 6412 28177
H 17028 2103
H 12710 4151
A 8875 17436
S 822 13717
H 23710 6361
A 370 32647
S 20882 12619
S 30012 26775
H 20827 13000
H 13011 13779
S 30254 7496
H 1832 23018
H 12029 5100
S 5402 1566
H 12614 17138
A 6095 6195
S 19632 21619
H 22096 228
S 27092 30595
S 7876 27649
S 10997 30089
S 29037 11440
S 154 16362
H 18603 27398
S 23885 21593
H 5957 14194
H 23271 24682
H 26521 7860
H 26922 15683
H 15273 16171
H 20645 17011
S 26083 6145
H 17938 7006
S 8381 8153
S 18854 19648
S 16247 29711
S 27412 48
H 31899 29349
A 2481 5679
H 15134 8310
S 5487 32683
A 5417 10826
A 14313 20165
S 24563 27348
H 13440 7275
H 28215 30920
S 18231 8491
H 25379 10130
A 9965 16430
H 26076 27210
S 24812 21361
H 2534 31736
A 13583 31891
H 23313 24915
S 18541 6222
H 15293 6003
S 29860 4119
H 14990 24623
S 27189 18053
S 16620 26661
S 436 27468
S 3556 19353
A 10935 18921
H 26938 5805
A 12890 14531
S 26843 4776
A 11696 32118
S 5864 21816
A 24121 30395
A 20749 26623
S 14511 13232
A 19912 27118
S 24334 9522
H 31683 30772
H 31969 2364
A 1916 15299
S 5816 25612
H 32271 18816
A 21537 23996
S 14768 31934
S 18009 23963
A 12455 19242
H 15678 3823
S 25492 9354
A 10532 13038
S 7439 1834
S 9103 21000
H 1370 24703
S 21008 4821
S 9047 3755
A 15796 18253
A 13832 19674
H 16064 12564
A 5207 11680
S 4014 9203
S 28235 26735
S 19376 6629
S 31863 28987
S 23585 3641
A 4585 16704
A 7604 30116
A 152 26581
H 4328 1987
A 15332 24038
A 5197 20757
S 16922 27944
S 31449 568
S 13948 656
A 23817 31293
A 2202 3164
H 19674 31262
A 4011 26898
S 9740 7025
S 10930 18069
S 17956 13300
S 17797 30865
S 28875 15314
H 13406 1868
H 981 30608
A 17338 19330
S 26025 27723
S 7961 14973
A 18876 26043
S 26137 22581
A 12003 17107
S 25849 856
S 20064 17418
S 17485 32669
S 17392 25270
A 6186 12810
A 22097 23295
A 5883 14905
S 17645 6737
S 20458 28552
S 10931 16991
S 30525 10788
S 12102 29964
S 10149 10942
S 14087 14293
S 27050 10515
S 22437 32152
S 30162 26998
A 23099 23496
S 17025 19633
S 21791 11370
A 3309 29356
H 14068 28793
S 3443 16099
A 15991 18845
A 16887 24273
S 3866 30559
A 6421 20948
H 13191 28721
H 24395 12093
S 30373 18630
A 11107 21124
S 13495 22721
A 14787 32474
A 422 27046
H 15991 17040
A 24965 31388
A 14350 17419
S 4504 25536
H 16778 1348
S 13229 5580
H 15428 31720
A 1023 17895
S 6699 19422
A 15888 18128
H 20444 9870
A 5057 25357
H 25021 19747
S 31626 16371
H 20908 7398
H 22812 19507
A 5159 6966
H 30378 1853
S 24147 20354
A 5749 16135
H 23829 29272
S 17712 26133
S 2769 7889
S 7989 9197
S 11172 24780
S 21443 13887
S 31078 3203
S 8390 15207
S 32623 23756
H 1747 12054
S 28845 26173
H 6232 6206
H 13315 2976
H 23755 12042
H 20723 21885
A 19573 30541
S 23275 12700
S 32123 15707
H 988 207
S 22110 20761
H 12007 18539
H 25283 16407
H 16953 10801
H 26464 24789
H 9071 16538
H 1668 8785
H 19491 30402
H 23125 30934
A 14951 19559
A 16835 26274
S 28507 19377
H 437 7137
H 6691 16842
S 18718 25061
S 30693 27749
H 16893 13233
H 9629 22980
S 29300 6701
H 26338 17896
H 6265 11414
A 2292 25319
S 12239 1546
H 2990 5017
S 17741 10059
H 40 10533
H 27541 10237
H 23354 18706
A 23830 25802
S 19988 9437
S 12783 16952
H 8618 27989
S 1006 4645
A 8619 15139
A 7834 21368
A 21310 27186
S 31803 12840
H 30583 2382
A 9961 27945
A 14636 23332
S 8893 29482
S 13134 1991
S 388 18769
S 29822 10705
A 5718 6836
S 28245 4112
S 3839 25885
H 5675 164
S 14668 16676
A 4626 13626
S 20402 15284
S 1334 8963
S 8724 12106
S 12972 1195
H 3652 8661
S 12478 29959
S 3935 12868
S 542 23927
H 15378 27926
S 18775 16226
S 11109 410
H 9917 7133
H 13473 22938
S 13477 17555
S 10864 5021
H 25262 13149
S 23110 25617
S 5951 4941
H 4268 31740
H 27276 24856
A 21493 30739
A 4290 16931
A 11053 12455
A 12577 14496
S 5380 29186
S 1587 120
S 2113 20711
S 18275 29697
H 9322 9974
H 5786 10406
H 31480 19134
S 3249 21263
A 16278 32394
H 5595 16237
H 30192 31356
S 11086 5617
H 21705 19120
S 10710 3230
A 8354 18788
S 7453 24301
H 30555 25357
H 26050 14599
S 4215 18938
S 13470 1910
S 15658 15545
A 7584 32710
S 22972 1526
S 26152 13426
S 21830 22069
S 31961 12278
H 22281 1865
S 19816 13776
S 17369 13228
S 28379 14296
S 8318 2756
S 11034 32074
S 28507 26478
H 8435 14912
S 22224 8306
H 22277 14454
S 27383 25257
S 20010 17796
S 12505 13046
H 25148 23059
A 2665 10807
S 15944 2749
S 16484 26915
S 26002 7825
S 2551 19665
S 25838 28790
A 15836 31285
A 14429 22497
H 23175 12955
A 2712 24308
S 19799 27181
A 2927 3198
H 22305 10445
H 27141 9108
S 21930 32170
S 9298 13755
H 13966 32444
A 12919 17106
H 30124 16648
S 13506 10574
S 16660 21574
S 4975 23642
A 16121 25478
S 2671 31260
S 6050 29771
S 9525 5568
H 30041 3916
H 4851 23623
S 6206 22380
S 13780 19541
H 14537 16452
S 28689 22645
H 2989 19207
S 2038 18571
S 8650 31288
A 6192 23138
S 2148 30834
S 29693 19111
S 23722 14699
H 16150 26281
S 13999 18550
H 18277 23725
S 3935 14892
S 744 973
H 25119 24334
S 32345 5512
S 5650 29489
S 6498 8846
H 1080 11104
H 13203 14713
A 1771 14896
S 31058 4457
A 13403 18427
S 25207 25537
S 2333 28351
A 15450 18288
A 10066 10480
S 22386 9617
A 18286 19253
A 4684 13542
H 13784 18553
H 27280 17969
A 7457 9375
S 29802 29583
A 28702 29713
A 4207 24668
S 11896 20658
S 15840 14654
H 32426 8649
S 3324 22858
S 24475 9926
A 7581 8321
S 28905 21847
S 5516 11231
S 30693 13807
S 14018 31293
H 4539 9396
S 27578 18067
S 18123 17155
H 17809 23107
S 22619 28120
H 24482 21889
S 6430 10171
H 14288 30715
H 13894 9475
H 25579 5670
H 23069 8078
H 12818 29084
H 21086 21308
H 24610 20554
H 13243 5839
S 14996 16732
A 8540 32006
S 11605 20529
S 14898 22533
S 12670 17591
S 1914 28004
H 6387 19970
H 28360 13194
A 5466 24315
H 28512 8464
S 2531 28278
A 9695 32102
A 791 20436
S 591 19959
H 9186 18629
S 7234 32109
S 1715 12452
S 28045 17143
H 1313 7629
H 18350 11671
A 11543 12340
A 7131 24848
A 11396 31262
A 11935 25246
H 20724 6874
H 13165 1430
A 17346 20383
A 15069 21340
A 24782 30969
S 22274 3775
A 19388 20611
S 32325 28520
S 26038 1105
H 3170 16461
S 25372 7020
S 29531 25447
S 28037 22854
H 32256 31379
H 26419 16603
A 3511 24336
A 8534 9074
H 12575 21118
S 26793 28740
S 1615 6339
S 17480 4462
S 30713 27404
S 12510 22519
H 1486 21662
S 5749 7132
H 20781 1807
S 16774 5711
H 11411 22373
H 22573 27576
S 24686 20259
S 10879 10265
A 15812 26580
H 26998 27615
S 27753 2029
S 20981 71
S 9651 3621
A 16840 20959
S 3574 13461
S 2745 13525
S 28201 26416
S 15365 10753
A 24965 31874
H 5341 27898
H 32242 5568
H 29366 12948
H 9148 4962
S 25747 31890
S 28584 28210
S 10380 4731
H 28286 5706
S 19270 22731
A 3012 14420
A 14073 30998
A 10576 29437
S 24313 21006
S 12769 9084
A 19902 25787
A 16948 27700
S 15328 16176
S 15698 18662
H 21257 18470
S 11405 25959
A 1497 31805
S 12519 22610
S 27151 4322
H 30161 20030
H 636 11315
S 13819 19166
S 21047 25766
S 25170 25460
H 29072 24534
S 15040 14368
A 1847 13637
S 19285 13285
H 28559 7667
H 15311 10631
S 3915 17912
S 22725 30601
S 3723 26816
S 1258 2035
H 13749 27630
A 9749 20654
H 30644 13859
A 29971 32658
S 28020 22033
S 10357 18809
S 13483 929
H 4563 30204
S 22600 26650
S 16953 18847
H 13096 15240
H 30147 28306
S 11748 29911
A 95 12166
S 24270 22362
H 26206 30995
H 32629 25530
S 14397 32450
S 27981 27517
A 1663 7433
S 4947 3493
S 21292 32278
H 14522 2080
S 3938 16432
A 21766 23797
H 9843 3751
S 17450 7024
S 17097 15669
S 5499 31948
S 4403 10944
S 18069 16636
A 12785 30508
S 6023 9122
S 10877 27105
S 22504 10852
S 13591 30196
A 9372 17678
S 24953 20545
H 7275 3400
S 2811 31769
S 9673 14032
S 10965 30342
A 2645 17007
H 1469 6368
H 31991 5411
S 26480 1475
S 9645 566
S 12418 13069
A 6753 29249
A 17330 28742
S 20067 27196
S 10168 14976
H 2644 7478
S 29598 11058
S 31918 14411
S 2919 343
S 30504 3048
S 3954 19714
H 1959 26248
A 21313 23737
S 23422 13414
H 21790 29887
A 5342 21030
S 4808 26405
H 24763 24945
H 8781 19995
S 31196 27559
S 29351 1779
S 9668 20040
H 31519 1631
S 25778 25500
S 30386 2505
S 27131 5559
S 20894 9763
A 7934 18528
H 20761 31817
H 22649 16481
S 26211 8011
S 2128 16389
A 4920 21930
H 28556 32333
S 11907 19268
H 1460 26760
S 22238 17498
S 16498 22447
A 21887 27327
A 15845 20206
S 16935 8589
H 855 24824
S 23532 20014
S 21246 5204
S 1912 21028
A 15245 15903
A 16543 24894
H 23225 18430
S 6164 18054
S 26634 305
A 2077 28052
H 3976 17411
H 2202 518
S 31782 12310
A 26241 30859
H 16375 20276
H 8784 5892
A 7317 32165
S 13870 14764
H 6208 12364
S 28591 12612
A 491 23713
S 21111 15023
H 8752 7774
H 4144 19085
H 30636 32183
H 22413 18353
A 5945 14970
S 24405 25989
S 17126 30057
S 29608 11191
S 24790 32417
S 15097 27339
S 21322 12027
A 13688 30051
H 25382 19946
S 29916 1110
H 5086 24399
H 973 16373
H 28100 4597
A 4877 15209
S 18474 4795
S 10885 15492
H 28388 4496
A 1481 6822
H 14073 7378
S 10422 30588
S 17587 27816
H 20269 16323
S 31054 7027
S 11293 5723
S 18671 26994
A 11607 13386
S 10665 22807
H 26053 2471
A 29380 32473
H 3690 11780
A 6743 28539
S 9210 28466
S 10985 18473
H 10739 17272
S 8934 8892
S 23920 8337
S 11770 19964
H 28983 19209
S 1209 31946
S 6575 10713
S 6424 20581
H 2749 6222
S 18090 20814
S 25281 9372
H 31935 32346
S 9502 13233
S 24533 23014
S 11294 13091
H 4583 18023
A 11532 26699
A 15058 26996
S 23255 6124
A 11408 27997
S 12961 17405
S 32736 20473
S 23297 9574
A 19810 20870
A 2537 26066
H 25544 14654
H 28260 491
S 23940 5902
H 29361 13972
A 12804 22447
S 8292 31742
S 3260 3501
H 21393 26540
S 30123 32767
S 2863 27333
S 20937 6040
S 21559 21567
A 1341 31068
S 23079 22216
A 27866 31179
H 25333 8325
A 14889 16755
S 13714 26347
H 23843 27846
A 13163 29069
S 20929 20108
S 895 19881
A 5769 26783
A 26220 30011
S 10961 9327
S 10747 12946
H 6254 21381
H 30211 1964
A 12303 29698
S 15988 21511
H 15507 930
A 2645 14652
S 13110 2488
S 20077 23859
S 10730 28822
S 21341 310
S 29954 22168
S 11618 11340
H 11436 6943
S 11526 16281
H 21614 8587
A 1291 29693
S 23738 2572
H 18258 15459
S 22251 14124
A 7290 27497
S 11832 2147
S 19290 4978
H 22676 20760
S 26712 8858
S 18536 4304
H 12556 16691
S 1192 7299
S 31553 3150
S 16067 4688
S 2350 29825
S 5703 26624
A 22330 25638
A 2141 31262
H 13997 4805
S 23916 1165
S 9741 4981
H 20858 11998
S 9002 19019
S 17451 9693
H 31734 6456
A 876 26888
H 15046 20193
H 20523 19945
S 32653 16982
S 7855 5270
S 15148 7350
S 23653 4025
S 8947 11803
S 17222 10224
S 8671 23920
S 1822 13678
A 23104 23282
S 855 7191
S 17862 19342
S 4129 5523
A 14178 31531
S 23557 29200
S 26612 12288
S 9025 9125
S 12794 29515
S 28813 29075
A 18364 22020
S 19214 2015
H 14252 3424
S 25507 3316
S 1525 4418
H 2006 19018
H 13669 22759
H 27406 5712
S 25481 12843
S 18143 23813
S 281 30640
S 31106 12796
H 10051 1166
A 4560 13794
S 8060 1107
S 6845 12842
S 14041 13435
A 11977 18143
A 14120 26797
S 24036 18397
S 12088 13660
A 14253 22236
A 7324 24848
S 27167 13582
A 1872 2063
S 21258 6205
H 548 18681
S 6514 27678
H 3741 30410
A 7236 30664
H 6724 2774
S 13790 18559
H 17342 12906
H 27742 31331
H 13418 21241
H 13496 19614
S 26932 21275
H 760 12831
S 25619 7575
S 3144 4370
H 18994 12909
S 28554 29319
S 31726 32340
H 32677 20746
S 2862 11060
H 14046 20517
S 27079 15483
A 16372 31951
S 3302 8289
A 14166 28883
A 25525 31610
S 26893 5226
H 11955 26143
S 23120 9806
S 21122 11168
S 30601 29793
H 31757 26929
S 6021 22126
S 9562 16153
S 26153 11923
S 4447 12427
H 8809 24772
S 31415 24360
A 15535 27948
H 17420 5422
S 8559 10723
S 19083 7591
S 27155 19892
H 22977 19528
S 8842 8420
A 24252 32175
S 23583 2620
S 23293 8075
S 30308 7612
A 7819 30429
H 27980 8139
H 19677 28620
H 10201 27328
S 3847 14598
H 17628 7691
A 24032 24107
S 19386 17781
S 28593 28984
A 1337 3119
S 21417 13747
A 9407 25244
H 9262 1844
A 3879 25740
A 16282 30633
H 22476 16765
H 8421 17784
H 2975 15622
S 20626 7224
S 11368 23155
A 122 28137
S 22263 18866
H 17278 28102
S 5497 29880
H 2856 6691
H 22061 30926
A 5312 17654
H 32325 12145
H 8657 7566
S 9612 228
H 19905 12794
H 6053 2556
H 12042 28418
S 32241 19415
S 18089 9038
S 8586 30584
S 5074 19500
S 5854 16519
H 32640 20079
S 27829 18838
A 6304 13876
A 452 14047
S 17778 3597
A 4274 32414
S 8109 12946
H 3616 20088
S 9357 7471
A 4630 16068
S 17630 19408
H 14159 28432
S 8333 7372
S 29945 5291
S 25204 770
A 23594 31407
S 28908 4010
S 30645 11578
S 6999 14630
S 12157 2693
H 3113 26747
A 10910 29151
H 17426 24389
S 22407 2084
S 3672 1589
S 4997 22175
S 1923 14458
A 20745 22212
A 15025 18154
S 169 16423
A 19493 20675
S 15050 12160
H 31165 14215
H 1278 4111
S 9814 1131
S 26231 7106
S 8038 32040
H 23521 8492
A 13552 25238
S 30015 3949
S 12477 10299
S 18586 10137
A 1495 30044
S 31407 28743
H 18857 14653
S 31444 29510
H 6896 32506
A 13996 16846
A 12077 12883
H 31577 6592
H 13362 12134
S 4220 4976
S 1203 10098
S 7441 4930
S 11273 11545
H 1287 18196
S 15512 7346
S 11836 5885
S 5644 26879
A 5676 27150
A 4087 20206
S 26095 17059
A 4905 29295
S 7322 1807
H 2489 17055
S 18892 22841
S 17200 2895
S 24698 21696
A 13561 28892
A 2053 9501
S 24193 6536
S 16095 17180
S 7683 19271
H 402 18773
S 10871 27463
H 19255 16453
S 2110 7299
A 177 3610
H 11763 4249
H 27213 32590
S 5403 28985
S 22430 29860
A 8913 30108
A 30625 30759
A 21917 30700
S 25492 7735
H 30031 5187
S 25861 30922
S 11354 23017
S 12291 21101
S 23743 23112
S 12408 13222
H 22570 7420
H 13842 12485
S 31088 32624
S 19526 30539
S 8269 32048
S 29783 22892
H 9177 18437
H 21856 31575
S 15662 2939
S 23252 6474
S 22790 28561
S 13304 28320
H 23095 7368
S 18229 25936
S 28744 14295
H 608 12962
H 3236 5527
S 3400 12544
H 1559 22550
S 22052 28714
H 28044 19411
S 18365 27708
S 18506 18561
H 18277 28995
S 9004 6899
S 27934 13395
H 3963 9721
S 21112 27744
H 25974 1619
S 25872 1096
S 29107 10764
H 28607 11467
H 18905 1492
S 6603 28773
S 14941 29490
S 32198 17485
H 25169 22705
S 16855 14592
S 29545 6470
A 12830 22944
S 31666 31396
A 16523 24072
H 27582 19010
H 16771 11022
S 1841 5945
S 10171 12513
H 26341 27455
S 23970 28404
H 31539 6001
H 27473 23503
S 25076 31147
H 2890 22359
H 14169 9626
A 2796 8929
S 6583 10444
H 17984 2907
S 14283 17261
H 9577 29295
S 15909 30580
A 1261 19545
S 9155 20072
H 7581 7142
A 14853 32513
H 22361 21297
H 861 3693
A 7002 32210
A 21672 24014
A 2321 17963
S 10397 10907
A 5196 29572
S 28921 8649
H 26035 28589
S 6081 8300
A 4536 24407
S 1089 16597
H 30840 9600
S 31432 6416
S 13660 21858
S 17001 18743
S 32372 28885
